"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Dionda diaboli","Devils River minnow","Wherever found","2","Threatened","Fishes"
"Tiaroga cobitis","Loach minnow","Wherever found","2","Endangered","Fishes"
"Cyprinodon nevadensis mionectes","Ash Meadows Amargosa pupfish","Wherever found","8","Endangered","Fishes"
"Cyprinodon macularius","Desert pupfish","Wherever found","2","Endangered","Fishes"
"Cyprinella formosa","Beautiful shiner","Wherever found","2","Threatened","Fishes"
"Notropis cahabae","Cahaba shiner","Wherever found","4","Endangered","Fishes"
"Notropis albizonatus","Palezone shiner","Wherever found","4","Endangered","Fishes"
"Notropis simus pecosensis","Pecos bluntnose shiner","Wherever found","2","Threatened","Fishes"
"Lepidomeda mollispinis pratensis","Big Spring spinedace","Wherever found","8","Threatened","Fishes"
"Lepidomeda vittata","Little Colorado spinedace","Wherever found","2","Threatened","Fishes"
"Lepidomeda albivallis","White River spinedace","Wherever found","8","Endangered","Fishes"
"Crenichthys baileyi grandis","Hiko White River springfish","Wherever found","8","Endangered","Fishes"
"Crenichthys nevadae","Railroad Valley springfish","Wherever found","8","Threatened","Fishes"
"Crenichthys baileyi baileyi","White River springfish","Wherever found","8","Endangered","Fishes"
"Acipenser oxyrinchus (=oxyrhynchus) desotoi","Gulf sturgeon","Wherever found","4","Threatened","Fishes"
"Chasmistes liorus","June sucker","Wherever found","6","Threatened","Fishes"
"Deltistes luxatus","Lost River sucker","Wherever found","8","Endangered","Fishes"
"Xyrauchen texanus","Razorback sucker","Wherever found","6","Endangered","Fishes"
"Chasmistes brevirostris","shortnose sucker","Wherever found","8","Endangered","Fishes"
"Catostomus warnerensis","Warner sucker","Wherever found","1","Threatened","Fishes"
"Percina antesella","Amber darter","Wherever found","4","Endangered","Fishes"
"Percina jenkinsi","Conasauga logperch","Wherever found","4","Endangered","Fishes"
"Phoxinus cumberlandensis","Blackside dace","Wherever found","4","Threatened","Fishes"
"Meda fulgida","Spikedace","Wherever found","2","Endangered","Fishes"
"Etheostoma wapiti","Boulder darter","Wherever found","4","Endangered","Fishes"
"Percina aurolineata","Goldline darter","Wherever found","4","Threatened","Fishes"
"Notropis girardi","Arkansas River shiner","Arkansas River Basin (AR, KS, NM, OK, TX)","2","Threatened","Fishes"
"Cyprinella caerulea","Blue shiner","Wherever found","4","Threatened","Fishes"
"Salvelinus confluentus","Bull Trout","U.S.A., coterminous, lower 48 states","1","Threatened","Fishes"
"Scaphirhynchus albus","Pallid sturgeon","Wherever found","6","Endangered","Fishes"
"Hypomesus transpacificus","Delta smelt","Wherever found","8","Threatened","Fishes"
"Eucyclogobius newberryi","tidewater goby","Wherever found","8","Endangered","Fishes"
"Etheostoma akatulo","bluemask darter","Wherever found","4","Endangered","Fishes"
"Etheostoma percnurum","Duskytail darter","Wherever found","4","Endangered","Fishes"
"Hybognathus amarus","Rio Grande Silvery Minnow","Wherever found, except where listed as an experimental population","2","Endangered","Fishes"
"Notropis topeka (=tristis)","Topeka shiner","Wherever found, except where listed as an experimental population","6","Endangered","Fishes"
"Catostomus santaanae","Santa Ana sucker","3 CA river basins","8","Threatened","Fishes"
"Etheostoma chienense","Relict darter","Wherever found","4","Threatened","Fishes"
"Acipenser transmontanus","White sturgeon","U.S.A. (ID, MT), Canada (B.C.), Kootenai R. system","1","Endangered","Fishes"
"Etheostoma etowahae","Etowah darter","Wherever found","4","Endangered","Fishes"
"Etheostoma chermocki","Vermilion darter","Wherever found","4","Endangered","Fishes"
"Erimonax monachus","Spotfin Chub","U.S.A. (TN-specified portions of the Tellico River; see 17.84(m)(1)(i))","4","Experimental Population, Non-Essential","Fishes"
"Ptychocheilus lucius","Colorado pikeminnow","Salt and Verde R. drainages, AZ","6","Experimental Population, Non-Essential","Fishes"
"Plagopterus argentissimus","Woundfin","Gila R. drainage, AZ, NM","6","Experimental Population, Non-Essential","Fishes"
"Noturus flavipinnis","Yellowfin madtom","U.S.A. (TN-specified portions of the Tellico River; see 17.84(e)(1)(ii))","4","Experimental Population, Non-Essential","Fishes"
"Etheostoma trisella","Trispot darter","Wherever found","4","Threatened","Fishes"
"Catostomus discobolus yarrowi","Zuni bluehead Sucker","Wherever found","2","Endangered","Fishes"
"Etheostoma phytophilum","Rush Darter","Wherever found","4","Endangered","Fishes"
"Notropis oxyrhynchus","Sharpnose Shiner","Wherever found","2","Endangered","Fishes"
"Macrhybopsis tetranema","Peppered chub","Wherever found","2","Endangered","Fishes"
"Cottus specus","Grotto Sculpin","Wherever found","3","Endangered","Fishes"
"Fundulus julisia","Barrens topminnow","Wherever found","4","Endangered","Fishes"
"Percina aurora","Pearl darter","Wherever found","4","Threatened","Fishes"
"Noturus flavipinnis","Yellowfin madtom","U.S.A. (TN, VA-specified portions of the Holston River and watershed; see 17.84(e)(1)(i))","4","Experimental Population, Non-Essential","Fishes"
"Noturus furiosus","Carolina madtom","Wherever found","4","Endangered","Fishes"
"Etheostoma susanae","Cumberland darter","Wherever found","4","Endangered","Fishes"
"Noturus baileyi","Smoky madtom","Tellico River, TN","4","Experimental Population, Non-Essential","Fishes"
"Gila intermedia","Gila chub","Wherever found","2","Endangered","Fishes"
"Etheostoma percnurum","Duskytail darter","Tellico River, TN","4","Experimental Population, Non-Essential","Fishes"
"Crystallaria cincotta","Diamond Darter","Wherever found","5","Endangered","Fishes"
"Etheostoma moorei","Yellowcheek Darter","Wherever found","4","Endangered","Fishes"
"Noturus crypticus","Chucky Madtom","Wherever found","4","Endangered","Fishes"
"Elassoma alabamae","Spring pygmy sunfish","Wherever found","4","Threatened","Fishes"
"Notropis buccula","Smalleye Shiner","Wherever found","2","Endangered","Fishes"
"Etheostoma osburni","Candy darter","Wherever found","5","Endangered","Fishes"
"Empetrichthys latos","Pahrump poolfish","Wherever found","8","Endangered","Fishes"
"Etheostoma wapiti","Boulder darter","Shoal Creek","4","Experimental Population, Non-Essential","Fishes"
"Erimonax monachus","Spotfin Chub","U.S.A. (AL, TN-specified portions of Shoal Creek; see 17.84(m)(1)(ii))","4","Experimental Population, Non-Essential","Fishes"
"Chrosomus saylori","Laurel dace","Wherever found","4","Endangered","Fishes"
"Etheostoma percnurum","Duskytail darter","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.84(q)(1)(ii))","4","Experimental Population, Non-Essential","Fishes"
"Noturus stanauli","Pygmy madtom","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.84(t)(1)(i))","4","Experimental Population, Non-Essential","Fishes"
"Erimystax cahni","Slender chub","U.S.A. (TN - specified portions of the French Broad and Holston  Rivers; see 17.84(s)(1)(i))","4","Experimental Population, Non-Essential","Fishes"
"Erimonax monachus","Spotfin Chub","U.S.A. (TN-specified portions of the French Broad and Holston Rivers; see 17.84(m)(1)(iii))","4","Experimental Population, Non-Essential","Fishes"
"Noturus flavipinnis","Yellowfin madtom","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.84(e)(1)(iii))","4","Experimental Population, Non-Essential","Fishes"
"Spirinchus thaleichthys","Longfin Smelt","San Francisco Bay-Delta DPS","8","Endangered","Fishes"
"Scaphirhynchus platorynchus","Shovelnose Sturgeon","Wherever found","6","Similarity of Appearance (Threatened)","Fishes"
"Salvelinus confluentus","Bull Trout","Clackamas River subbasin experimental population","1","Experimental Population, Non-Essential","Fishes"
"Hybognathus amarus","Rio Grande Silvery Minnow","Rio Grande, from Little Box Canyon to Amistad Dam","2","Experimental Population, Non-Essential","Fishes"
"Etheostoma spilotum","Kentucky arrow darter","Wherever found","4","Threatened","Fishes"
"Salmo salar","Atlantic salmon","Gulf of Maine DPS","5","Endangered","Fishes"
"Percina williamsi","Sickle darter","Wherever found","4","Threatened","Fishes"
"Notropis topeka (=tristis)","Topeka shiner","U.S.A. (MO-specified portions of Little Creek, Big Muddy Creek, and Spring Creek watersheds in Adair, Gentry, Harrison, Putnam, Sullivan, and Worth Counties; see 17.84(d)(1)(i))","3","Experimental Population, Non-Essential","Fishes"
"Noturus munitus","Frecklebelly madtom","Upper Coosa River DPS","4","Threatened","Fishes"
"Etheostoma marmorpinnum","Marbled Darter","","4","Endangered","Fishes"
