"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Stygoparnus comalensis","Comal Springs dryopid beetle","Wherever found","2","Endangered","Insects"
"Rhadine infernalis","[no common name] Beetle","Wherever found","2","Endangered","Insects"
"Athearnia anthonyi","Anthony's riversnail","Wherever found; Except where listed as Experimental Populations","4","Endangered","Snails"
"Medionidus acutissimus","Alabama moccasinshell","Wherever found","4","Threatened","Clams"
"Speyeria callippe callippe","Callippe silverspot butterfly","Wherever found","8","Endangered","Insects"
"Lampsilis higginsii","Higgins eye (pearlymussel)","Wherever found","3","Endangered","Clams"
"Epioblasma brevidens","Cumberlandian combshell","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Anaea troglodyta floridalis","Florida leafwing Butterfly","Wherever found","4","Endangered","Insects"
"Fusconaia escambia","Narrow pigtoe","Wherever found","4","Threatened","Clams"
"Lepyrium showalteri","Flat pebblesnail","Wherever found","4","Endangered","Snails"
"Planorbella magnifica","Magnificent ramshorn","Wherever found","4","Endangered","Snails"
"Samoana fragilis","Fragile tree snail","Wherever found","1","Endangered","Snails"
"Strymon acis bartrami","Bartram's hairstreak Butterfly","Wherever found","4","Endangered","Insects"
"Hylaeus assimulans","Assimulans yellow-faced bee","Wherever found","1","Endangered","Insects"
"Cambarus callainus","Big Sandy crayfish","Wherever found","5","Threatened","Crustaceans"
"Cambarus zophonastes","Hell Creek Cave crayfish","Wherever found","4","Endangered","Crustaceans"
"Neonympha mitchellii francisci","Saint Francis' satyr butterfly","Wherever found","4","Endangered","Insects"
"Drosophila obatai","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Quadrula cylindrica strigillata","Rough rabbitsfoot","Wherever found","5","Endangered","Clams"
"Rhadine persephone","Tooth Cave ground beetle","Wherever found","2","Endangered","Insects"
"Fusconaia subrotunda","Longsolid","Wherever found","4","Threatened","Clams"
"Polyphylla barbata","Mount Hermon June beetle","Wherever found","8","Endangered","Insects"
"Euchloe ausonides insulanus","Island marble Butterfly","Wherever found","1","Endangered","Insects"
"Texella cokendolpheri","Cokendolpher Cave Harvestman","Wherever found","2","Endangered","Arachnids"
"Truncilla macrodon","Texas fawnsfoot","Wherever found","2","Threatened","Clams"
"Lampsilis streckeri","Speckled pocketbook","Wherever found","4","Endangered","Clams"
"Antrolana lira","Madison Cave isopod","Wherever found","5","Threatened","Crustaceans"
"Plethobasus cooperianus","Orangefoot pimpleback (pearlymussel)","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Pleurobema strodeanum","Fuzzy pigtoe","Wherever found","4","Threatened","Clams"
"Megalagrion xanthomelas","Orangeblack Hawaiian damselfly","Wherever found","1","Endangered","Insects"
"Nicrophorus americanus","American burying beetle","Ex Pop, SW Missouri","3","Experimental Population, Non-Essential","Insects"
"Partula radiolata","Guam tree snail","Wherever found","1","Endangered","Snails"
"Ptychobranchus jonesi","Southern kidneyshell","Wherever found","4","Endangered","Clams"
"Branchinecta longiantenna","Longhorn fairy shrimp","Wherever found","8","Endangered","Crustaceans"
"Fusconaia iheringi","Balcones spike","","2","Endangered","Clams"
"Villosa trabalis","Cumberland bean (pearlymussel)","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL","4","Experimental Population, Non-Essential","Clams"
"Lampsilis virescens","Alabama lampmussel","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Pyrgulopsis roswellensis","Roswell springsnail","Wherever found","2","Endangered","Snails"
"Epioblasma florentina walkeri (=E. walkeri)","Tan riffleshell","Wherever found","4","Endangered","Clams"
"Campeloma decampi","Slender campeloma","Wherever found","4","Endangered","Snails"
"Tryonia alamosae","Alamosa springsnail","Wherever found","2","Endangered","Snails"
"Spelaeorchestia koloana","Kauai cave amphipod","Wherever found","1","Endangered","Crustaceans"
"Drosophila hemipeza","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Gammarus desperatus","Noel's Amphipod","Wherever found","2","Endangered","Crustaceans"
"Gammarus acherondytes","Illinois cave amphipod","Wherever found","3","Endangered","Crustaceans"
"Pleurobema curtum","Black clubshell","Wherever found","4","Endangered","Clams"
"Ischnura luta","Rota blue damselfly","Wherever found","1","Endangered","Insects"
"Anguispira picta","Painted snake coiled forest snail","Wherever found","4","Threatened","Snails"
"Batrisodes venyivi","Helotes mold beetle","Wherever found","2","Endangered","Insects"
"Pleurobema georgianum","Southern pigtoe","Wherever found","4","Endangered","Clams"
"Ostodes strigatus","Snail [no common name]","Wherever found","1","Endangered","Snails"
"Cicindelidia floridana","Miami tiger beetle","Wherever found","4","Endangered","Insects"
"Theliderma intermedia","Cumberland monkeyface (pearlymussel)","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Euphydryas editha taylori","Taylor's (=whulge) Checkerspot","Wherever found","1","Endangered","Insects"
"Neonympha mitchellii mitchellii","Mitchell's satyr Butterfly","Wherever found","3","Endangered","Insects"
"Callophrys mossii bayensis","San Bruno elfin butterfly","Wherever found","8","Endangered","Insects"
"Euproserpinus euterpe","Kern primrose sphinx moth","Wherever found","8","Threatened","Insects"
"Branchinecta conservatio","Conservancy fairy shrimp","Wherever found","8","Endangered","Crustaceans"
"Adelocosa anops","Kauai cave wolf or pe'e pe'e maka 'ole spider","Wherever found","1","Endangered","Arachnids"
"Pleurocera foremani","Rough hornsnail","Wherever found","4","Endangered","Snails"
"Lampsilis rafinesqueana","Neosho Mucket","Wherever found","4","Endangered","Clams"
"Pyrgulopsis texana","Phantom Springsnail","Wherever found","2","Endangered","Snails"
"Hesperia leonardus montana","Pawnee montane skipper","Wherever found","6","Threatened","Insects"
"Somatochlora hineana","Hine's emerald dragonfly","Wherever found","3","Endangered","Insects"
"Palaemonetes cummingi","Squirrel Chimney Cave shrimp","Wherever found","4","Threatened","Crustaceans"
"Drosophila heteroneura","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Lepidurus packardi","Vernal pool tadpole shrimp","Wherever found","8","Endangered","Crustaceans"
"Leptoxis plicata","Plicate rocksnail","Wherever found","4","Endangered","Snails"
"Lycaeides melissa samuelis","Karner blue butterfly","Wherever found","3","Endangered","Insects"
"Epioblasma capsaeformis","Oyster mussel","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL","4","Experimental Population, Non-Essential","Clams"
"Megalagrion pacificum","Pacific Hawaiian damselfly","Wherever found","1","Endangered","Insects"
"Streptocephalus woottoni","Riverside fairy shrimp","Wherever found","8","Endangered","Crustaceans"
"Leptoxis taeniata","Painted rocksnail","Wherever found","4","Threatened","Snails"
"Obovaria retusa","Ring Pink","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Pyrgulopsis bruneauensis","Bruneau Hot springsnail","Wherever found","1","Endangered","Snails"
"Microhexura montivaga","Spruce-fir moss spider","Wherever found","4","Endangered","Arachnids"
"Epioblasma perobliqua","White catspaw (pearlymussel)","Wherever found","3","Endangered","Clams"
"Euphilotes enoptes smithi","Smith's blue butterfly","Wherever found","8","Endangered","Insects"
"Hemiargus ceraunus antibubastus","Ceraunus Blue Butterfly","Wherever found","4","Similarity of Appearance (Threatened)","Insects"
"Novisuccinea chittenangoensis","Chittenango ovate amber snail","Wherever found","5","Threatened","Snails"
"Dromus dromas","Dromedary pearlymussel","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Pleurobema clava","Clubshell","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL","4","Experimental Population, Non-Essential","Clams"
"Epioblasma curtisii","Curtis Pearlymussel","Wherever found","3","Endangered","Clams"
"Hamiota australis","Southern Sandshell","Wherever found","4","Threatened","Clams"
"Potamilus capax","Fat pocketbook","Wherever found","4","Endangered","Clams"
"Atlantea tulita","Puerto Rican harlequin butterfly","Wherever found","4","Threatened","Insects"
"Cyclonaias necki","Guadalupe Orb","","2","Endangered","Clams"
"Dromus dromas","Dromedary pearlymussel","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL","4","Experimental Population, Non-Essential","Clams"
"Toxolasma cylindrellus","Pale lilliput (pearlymussel)","Wherever found","4","Endangered","Clams"
"Epioblasma capsaeformis","Oyster mussel","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Erinna newcombi","Newcomb's snail","Wherever found","1","Threatened","Snails"
"Amblema neislerii","Fat threeridge (mussel)","Wherever found","4","Endangered","Clams"
"Parvaspina collina","James spinymussel","Wherever found","5","Endangered","Clams"
"Villosa fabalis","Rayed Bean","Wherever found","3","Endangered","Clams"
"Ambrysus amargosus","Ash Meadows naucorid","Wherever found","8","Threatened","Insects"
"Alasmidonta heterodon","Dwarf wedgemussel","Wherever found","5","Endangered","Clams"
"Villosa perpurpurea","Purple bean","Wherever found","5","Endangered","Clams"
"Physella natricina","Snake River physa snail","Wherever found","1","Endangered","Snails"
"Pleurobema plenum","Rough pigtoe","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Medionidus simpsonianus","Ochlockonee moccasinshell","Wherever found","4","Endangered","Clams"
"Hamiota subangulata","Shinyrayed pocketbook","Wherever found","4","Endangered","Clams"
"Cyclargus thomasi bethunebakeri","Miami Blue Butterfly","Wherever found","4","Endangered","Insects"
"Pleurobema taitianum","Heavy pigtoe","Wherever found","4","Endangered","Clams"
"Palaemonias alabamae","Alabama cave shrimp","Wherever found","4","Endangered","Crustaceans"
"Quadrula fragosa","Winged Mapleleaf","Wherever found, except where listed as an experimental population","3","Endangered","Clams"
"Orconectes shoupi","Nashville crayfish","Wherever found","4","Endangered","Crustaceans"
"Brychius hungerfordi","Hungerford's crawling water Beetle","Wherever found","3","Endangered","Insects"
"Rhaphiomidas terminatus abdominalis","Delhi Sands flower-loving fly","Wherever found","8","Endangered","Insects"
"Pseudocopaeodes eunus obscurus","Carson wandering skipper","Wherever found","8","Endangered","Insects"
"Leptodea leptodon","Scaleshell mussel","Wherever found","3","Endangered","Clams"
"Rhadine exilis","[no common name] Beetle","Wherever found","2","Endangered","Insects"
"Hylaeus kuakea","Hawaiian yellow-faced bee","Wherever found","1","Endangered","Insects"
"Habroscelimorpha dorsalis dorsalis","Northeastern beach tiger beetle","Wherever found","5","Threatened","Insects"
"Glaucopsyche lygdamus palosverdesensis","Palos Verdes blue butterfly","Wherever found","8","Endangered","Insects"
"Marstonia ogmorhaphe","Royal marstonia (snail)","Wherever found","4","Endangered","Snails"
"Oarisma poweshiek","Poweshiek skipperling","Wherever found","3","Endangered","Insects"
"Partulina variabilis","Lanai tree snail","Wherever found","1","Endangered","Snails"
"Faxonius peruncus","Big Creek Crayfish","","3","Threatened","Crustaceans"
"Palaemonias ganteri","Kentucky cave shrimp","Wherever found","4","Endangered","Crustaceans"
"Cyprogenia stegaria","Fanshell","Wherever found","4","Endangered","Clams"
"Cyprogenia stegaria","Fanshell","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Cicindela ohlone","Ohlone tiger beetle","Wherever found","8","Endangered","Insects"
"Boloria acrocnema","Uncompahgre fritillary butterfly","Wherever found","6","Endangered","Insects"
"Hylaeus facilis","Easy yellow-faced bee","Wherever found","1","Endangered","Insects"
"Cicurina madla","Madla Cave Meshweaver","Wherever found","2","Endangered","Arachnids"
"Hemileuca maia menyanthevora (=H. iroquois)","bog buck moth","Wherever found","5","Endangered","Insects"
"Theliderma sparsa","Appalachian monkeyface (pearlymussel)","USA (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Drosophila ochrobasis","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Lampsilis powellii","Arkansas fatmucket","Wherever found","4","Threatened","Clams"
"Euphydryas anicia cloudcrofti","Sacramento Mountains checkerspot Butterfly","Wherever found","2","Endangered","Insects"
"Lemiox rimosus","Birdwing pearlymussel","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Pleurobema furvum","Dark pigtoe","Wherever found","4","Endangered","Clams"
"Dinacoma caseyi","Casey's June Beetle","Wherever found","8","Endangered","Insects"
"Lasmigona decorata","Carolina heelsplitter","Wherever found","4","Endangered","Clams"
"Eua zebrina","Snail [no common name]","Wherever found","1","Endangered","Snails"
"Orthalicus reses (not incl. nesodryas)","Stock Island tree snail","Wherever found","4","Threatened","Snails"
"Partula langfordi","Langford's tree snail","Wherever found","1","Endangered","Snails"
"Elliptoideus sloatianus","Purple bankclimber (mussel)","Wherever found","4","Threatened","Clams"
"Hylaeus anthracinus","Anthricinan yellow-faced bee","Wherever found","1","Endangered","Insects"
"Pleuronaia dolabelloides","Slabside Pearlymussel","Wherever found","4","Endangered","Clams"
"Megalagrion nesiotes","Flying earwig Hawaiian damselfly","Wherever found","1","Endangered","Insects"
"Partulina semicarinata","Lanai tree snail","Wherever found","1","Endangered","Snails"
"Epioblasma capsaeformis","Oyster mussel","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Ellipsoptera puritana","Puritan tiger beetle","Wherever found","5","Threatened","Insects"
"Lycaeides argyrognomon lotis","Lotis blue butterfly","Wherever found","8","Endangered","Insects"
"Pleurobema athearni","Canoe Creek Clubshell","Wherever found","4","Endangered","Clams"
"Pleuronaia gibber","Cumberland pigtoe","Wherever found","4","Endangered","Clams"
"Theliderma intermedia","Cumberland monkeyface (pearlymussel)","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL","4","Experimental Population, Non-Essential","Clams"
"Pyrgulopsis neomexicana","Socorro springsnail","Wherever found","2","Endangered","Snails"
"Speyeria zerene myrtleae","Myrtle's silverspot butterfly","Wherever found","8","Endangered","Insects"
"Tryonia circumstriata (=stocktonensis)","Gonzales tryonia","Wherever found","2","Endangered","Snails"
"Branchinecta sandiegonensis","San Diego fairy shrimp","Wherever found","8","Endangered","Crustaceans"
"Epioblasma brevidens","Cumberlandian combshell","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Assiminea pecos","Pecos assiminea snail","Wherever found","2","Endangered","Snails"
"Plethobasus cooperianus","Orangefoot pimpleback (pearlymussel)","Wherever found","4","Endangered","Clams"
"Vetericaris chaceorum","Anchialine pool shrimp","Wherever found","1","Endangered","Crustaceans"
"Drosophila differens","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Triodopsis platysayoides","Flat-spired three-toothed Snail","Wherever found","5","Threatened","Snails"
"Idaholanx fresti","Banbury Springs limpet","Wherever found","1","Endangered","Snails"
"Icaricia (Plebejus) shasta charlestonensis","Mount Charleston blue butterfly","Wherever found","8","Endangered","Insects"
"Margaritifera hembeli","Louisiana pearlshell","Wherever found","4","Threatened","Clams"
"Tulotoma magnifica","Tulotoma snail","Wherever found","4","Threatened","Snails"
"Epioblasma obliquata","Purple Cat's paw (=Purple Cat's paw pearlymussel)","Wherever found; Except where listed as Experimental Populations","3","Endangered","Clams"
"Cyprogenia aberti","Western fanshell","Wherever found","3","Threatened","Clams"
"Parvaspina steinstansana","Tar River spinymussel","Wherever found","4","Endangered","Clams"
"Pleurobema plenum","Rough pigtoe","Wherever found","4","Endangered","Clams"
"Procambarus econfinae","Panama City crayfish","Wherever found","4","Threatened","Crustaceans"
"Icaricia icarioides missionensis","Mission blue butterfly","Wherever found","8","Endangered","Insects"
"Epioblasma penita","Southern combshell","Wherever found","4","Endangered","Clams"
"Heraclides aristodemus ponceanus","Schaus swallowtail butterfly","Wherever found","4","Endangered","Insects"
"Thermosphaeroma thermophilus","Socorro isopod","Wherever found","2","Endangered","Crustaceans"
"Batrisodes texanus","Coffin Cave mold beetle","Wherever found","2","Endangered","Insects"
"Achatinella spp.","Oahu tree snails","Wherever found","1","Endangered","Snails"
"Bombus franklini","Franklin's bumble bee","Wherever found","1","Endangered","Insects"
"Cumberlandia monodonta","Spectaclecase (mussel)","Wherever found","3","Endangered","Clams"
"Pleurobema perovatum","Ovate clubshell","Wherever found","4","Endangered","Clams"
"Syncaris pacifica","California freshwater shrimp","Wherever found","8","Endangered","Crustaceans"
"Cicurina vespera","Government Canyon Bat Cave meshweaver","Wherever found","2","Endangered","Arachnids"
"Fusconaia burkei","Tapered pigtoe","Wherever found","4","Threatened","Clams"
"Fusconaia cuneolus","Finerayed pigtoe","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Marstonia pachyta","Armored snail","Wherever found","4","Endangered","Snails"
"Antrobia culveri","Tumbling Creek cavesnail","Wherever found","3","Endangered","Snails"
"Pyrgulopsis chupaderae","Chupadera springsnail","Wherever found","2","Endangered","Snails"
"Taylorconcha serpenticola","Bliss Rapids snail","Wherever found","1","Threatened","Snails"
"Elaphrus viridis","Delta green ground beetle","Wherever found","8","Threatened","Insects"
"Drosophila aglaia","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Lioplax cyclostomaformis","Cylindrical lioplax (snail)","Wherever found","4","Endangered","Snails"
"Pseudotryonia adamantina","Diamond Tryonia","Wherever found","2","Endangered","Snails"
"Trimerotropis infantilis","Zayante band-winged grasshopper","Wherever found","8","Endangered","Insects"
"Quadrula fragosa","Winged Mapleleaf","U.S.A. (AL-specified portions of the Tennessee River; see 17.85(a)(1))","4","Experimental Population, Non-Essential","Clams"
"Obovaria choctawensis","Choctaw bean","Wherever found","4","Endangered","Clams"
"Margaritifera marrianae","Alabama pearlshell","Wherever found","4","Endangered","Clams"
"Epioblasma rangiana","Northern riffleshell","Wherever found","5","Endangered","Clams"
"Lednia tumana","Meltwater lednian stonefly","Wherever found","6","Threatened","Insects"
"Pyrgulopsis trivialis","Three Forks Springsnail","Wherever found","2","Endangered","Snails"
"Ptychobranchus greenii","Triangular Kidneyshell","Wherever found","4","Endangered","Clams"
"Fusconaia cor","Shiny pigtoe","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL","4","Experimental Population, Non-Essential","Clams"
"Polygyriscus virginianus","Virginia fringed mountain snail","Wherever found","5","Endangered","Snails"
"Theliderma sparsa","Appalachian monkeyface (pearlymussel)","Wherever found","5","Endangered","Clams"
"Drosophila musaphilia","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Lemiox rimosus","Birdwing pearlymussel","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Procaris hawaiana","Anchialine pool Shrimp","Wherever found","1","Endangered","Crustaceans"
"Leptoxis foremani","Interrupted (=Georgia) Rocksnail","Wherever found","4","Endangered","Snails"
"Drosophila sharpi","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Megalagrion oceanicum","Oceanic Hawaiian damselfly","Wherever found","1","Endangered","Insects"
"Fusconaia masoni","Atlantic pigtoe","Wherever found","4","Threatened","Clams"
"Leptotes cassius theonus","Cassius Blue Butterfly","Wherever found","4","Similarity of Appearance (Threatened)","Insects"
"Hamiota perovalis","Orangenacre mucket","Wherever found","4","Threatened","Clams"
"Ptychobranchus subtentus","Fluted kidneyshell","Wherever found","4","Endangered","Clams"
"Medionidus penicillatus","Gulf moccasinshell","Wherever found","4","Endangered","Clams"
"Pleurobema decisum","Southern clubshell","Wherever found","4","Endangered","Clams"
"Discus macclintocki","Iowa Pleistocene snail","Wherever found","3","Endangered","Snails"
"Pegias fabula","Littlewing pearlymussel","Wherever found","4","Endangered","Clams"
"Bombus affinis","Rusty patched bumble bee","Wherever found","3","Endangered","Insects"
"Partula gibba","Humped tree snail","Wherever found","1","Endangered","Snails"
"Fusconaia cuneolus","Finerayed pigtoe","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL","4","Experimental Population, Non-Essential","Clams"
"Hesperia dacotae","Dakota Skipper","Wherever found","3","Threatened","Insects"
"Pleurobema hanleyianum","Georgia pigtoe","Wherever found","4","Endangered","Clams"
"Theliderma intermedia","Cumberland monkeyface (pearlymussel)","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Hemistena lata","Cracking pearlymussel","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Lirceus usdagalun","Lee County cave isopod","Wherever found","5","Endangered","Crustaceans"
