"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Calidris canutus rufa","rufa red knot","Wherever found","5","Threatened","Birds"
"Falco femoralis septentrionalis","Northern Aplomado Falcon","U.S.A (AZ, NM)","2","Experimental Population, Non-Essential","Birds"
"Drepanis coccinea","`I`iwi","Wherever found","1","Threatened","Birds"
"Grus americana","Whooping crane","Louisiana Nonmigratory NEP - U.S.A (LA)","2","Experimental Population, Non-Essential","Birds"
"Lagopus leucura rainierensis","Mt. Rainier white-tailed ptarmigan","Wherever found","1","Threatened","Birds"
"Gymnomyza samoensis","Mao (= maomao) (honeyeater)","Wherever found","1","Endangered","Birds"
"Laterallus jamaicensis jamaicensis","Eastern Black rail","Wherever found","4","Threatened","Birds"
"Gymnogyps californianus","California condor","Pacific Northwest NEP","8","Experimental Population, Non-Essential","Birds"
"Glaucidium brasilianum cactorum","Cactus ferruginous pygmy-owl","Wherever found","2","Threatened","Birds"
"Todiramphus cinnamominus","Guam kingfisher","U.S.A. (Palmyra Atoll)","1","Experimental Population, Non-Essential","Birds"
"Grus americana","Whooping crane","Kissimmee Prairie NEP - USA (FL)","4","Experimental Population, Non-Essential","Birds"
