"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Charadrius nivosus nivosus","western snowy plover","Pacific Coast population DPS-U.S.A. (CA, OR, WA), Mexico (within 50 miles of Pacific coast)","8","Threatened","Birds"
"Plethobasus cicatricosus","White wartyback (pearlymussel)","Wherever found","4","Endangered","Clams"
"Popenaias popeii","Texas Hornshell","Wherever found","2","Endangered","Clams"
"Microtus pennsylvanicus dukecampbelli","Florida salt marsh vole","Wherever found","4","Endangered","Mammals"
"Oncorhynchus clarkii stomias","Greenback Cutthroat trout","Wherever found","6","Threatened","Fishes"
"Etheostoma spilotum","Kentucky arrow darter","Wherever found","4","Threatened","Fishes"
"Myotis septentrionalis","Northern Long-Eared Bat","Wherever found","3","Endangered","Mammals"
"Desmocerus californicus dimorphus","Valley elderberry longhorn beetle","Wherever found","8","Threatened","Insects"
"Mesodon clarki nantahala","noonday snail","Wherever found","4","Threatened","Snails"
"Gambusia nobilis","Pecos gambusia","Wherever found","2","Endangered","Fishes"
"Hamiota altilis","Finelined pocketbook","Wherever found","4","Threatened","Clams"
"Numenius borealis","Eskimo curlew","Wherever found","7","Endangered","Birds"
"Eumops floridanus","Florida bonneted bat","Wherever found","4","Endangered","Mammals"
"Spirinchus thaleichthys","Longfin Smelt","San Francisco Bay-Delta DPS","8","Endangered","Fishes"
"Setophaga angelae","Elfin-woods warbler","Wherever found","4","Threatened","Birds"
"Canis lupus","Gray wolf","CO","6","Experimental Population, Non-Essential","Mammals"
"Speyeria nokomis nokomis","Silverspot","Wherever found","6","Threatened","Insects"
"Texella reddelli","Bee Creek Cave harvestman","Wherever found","2","Endangered","Arachnids"
"Megalagrion leptodemas","Crimson Hawaiian damselfly","Wherever found","1","Endangered","Insects"
"Rana chiricahuensis","Chiricahua leopard frog","Wherever found","2","Threatened","Amphibians"
"Lepidomeda vittata","Little Colorado spinedace","Wherever found","2","Threatened","Fishes"
"Medionidus walkeri","Suwannee moccasinshell","Wherever found","4","Threatened","Clams"
"Gopherus polyphemus","Gopher tortoise","Western DPS","4","Threatened","Reptiles"
"Euphilotes battoides allyni","El Segundo blue butterfly","Wherever found","8","Endangered","Insects"
"Lycaena hermes","Hermes copper butterfly","Wherever found","8","Threatened","Insects"
"Gammarus hyalleloides","Diminutive Amphipod","Wherever found","2","Endangered","Crustaceans"
"Rostrhamus sociabilis plumbeus","Everglade snail kite","Wherever found","4","Endangered","Birds"
"Medionidus parvulus","Coosa moccasinshell","Wherever found","4","Endangered","Clams"
"Cyclura stejnegeri","Mona ground Iguana","Wherever found","4","Threatened","Reptiles"
"Masticophis lateralis euryxanthus","Alameda whipsnake (=striped racer)","Wherever found","8","Threatened","Reptiles"
"Notropis girardi","Arkansas River shiner","Arkansas River Basin (AR, KS, NM, OK, TX)","2","Threatened","Fishes"
"Dionda diaboli","Devils River minnow","Wherever found","2","Threatened","Fishes"
"Etheostoma etowahae","Etowah darter","Wherever found","4","Endangered","Fishes"
"Stygobromus hayi","Hay's Spring amphipod","Wherever found","5","Endangered","Crustaceans"
"Phoxinus cumberlandensis","Blackside dace","Wherever found","4","Threatened","Fishes"
"Thamnophis rufipunctatus","Narrow-headed gartersnake","Wherever found","2","Threatened","Reptiles"
"Thomomys mazama tumuli","Tenino pocket gopher","Wherever found","1","Threatened","Mammals"
"Arcidens wheeleri","Ouachita rock pocketbook","Wherever found","2","Endangered","Clams"
"Chasmistes cujus","Cui-ui","Wherever found","8","Endangered","Fishes"
"Anolis roosevelti","Culebra Island giant anole","Wherever found","4","Endangered","Reptiles"
"Eleutherodactylus juanariveroi","Llanero Coqui","Wherever found","4","Endangered","Amphibians"
"Hemistena lata","Cracking pearlymussel","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Peromyscus polionotus ammobates","Alabama beach mouse","Wherever found","4","Endangered","Mammals"
"Reginaia rotulata","Round Ebonyshell","Wherever found","4","Endangered","Clams"
"Stygoparnus comalensis","Comal Springs dryopid beetle","Wherever found","2","Endangered","Insects"
"Rhadine infernalis","[no common name] Beetle","Wherever found","2","Endangered","Insects"
"Speyeria callippe callippe","Callippe silverspot butterfly","Wherever found","8","Endangered","Insects"
"Etheostoma marmorpinnum","Marbled Darter","","4","Endangered","Fishes"
"Gasterosteus aculeatus williamsoni","unarmored threespine stickleback","Wherever found","8","Endangered","Fishes"
"Lampsilis higginsii","Higgins eye (pearlymussel)","Wherever found","3","Endangered","Clams"
"Palmeria dolei","`Akohekohe (crested honeycreeper)","Wherever found","1","Endangered","Birds"
"Glyptemys muhlenbergii","bog turtle","Wherever found, except GA, NC, SC, TN, VA","5","Threatened","Reptiles"
"Anaea troglodyta floridalis","Florida leafwing Butterfly","Wherever found","4","Endangered","Insects"
"Noturus stanauli","Pygmy madtom","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.84(t)(1)(i))","4","Experimental Population, Non-Essential","Fishes"
"Eretmochelys imbricata","Hawksbill sea turtle","Wherever found","4","Endangered","Reptiles"
"Samoana fragilis","Fragile tree snail","Wherever found","1","Endangered","Snails"
"Hylaeus assimulans","Assimulans yellow-faced bee","Wherever found","1","Endangered","Insects"
"Etheostoma osburni","Candy darter","Wherever found","5","Endangered","Fishes"
"Myotis grisescens","Gray bat","Wherever found","3","Endangered","Mammals"
"Percina aurolineata","Goldline darter","Wherever found","4","Threatened","Fishes"
"Ambystoma californiense","California tiger Salamander","U.S.A. (CA - Santa Barbara County)","8","Endangered","Amphibians"
"Drosophila obatai","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Sternotherus depressus","Flattened musk turtle","Black Warrior R. system upstream from Bankhead Dam","4","Threatened","Reptiles"
"Neotoma fuscipes riparia","riparian woodrat (= San Joaquin Valley)","Wherever found","8","Endangered","Mammals"
"Etheostoma rubrum","Bayou darter","Wherever found","4","Threatened","Fishes"
"Acipenser oxyrinchus (=oxyrhynchus) desotoi","Gulf sturgeon","Wherever found","4","Threatened","Fishes"
"Chelonia mydas","Green sea turtle","Central South Pacific DPS","1","Endangered","Reptiles"
"Ursus maritimus","Polar bear","Wherever found","7","Threatened","Mammals"
"Polyphylla barbata","Mount Hermon June beetle","Wherever found","8","Endangered","Insects"
"Euchloe ausonides insulanus","Island marble Butterfly","Wherever found","1","Endangered","Insects"
"Meda fulgida","Spikedace","Wherever found","2","Endangered","Fishes"
"Truncilla macrodon","Texas fawnsfoot","Wherever found","2","Threatened","Clams"
"Lampsilis streckeri","Speckled pocketbook","Wherever found","4","Endangered","Clams"
"Antrolana lira","Madison Cave isopod","Wherever found","5","Threatened","Crustaceans"
"Plethobasus cooperianus","Orangefoot pimpleback (pearlymussel)","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Percina pantherina","Leopard darter","Wherever found","2","Threatened","Fishes"
"Pleurobema strodeanum","Fuzzy pigtoe","Wherever found","4","Threatened","Clams"
"Partula radiolata","Guam tree snail","Wherever found","1","Endangered","Snails"
"Noturus flavipinnis","Yellowfin madtom","Wherever found, except where listed as an experimental population","4","Threatened","Fishes"
"Branchinecta longiantenna","Longhorn fairy shrimp","Wherever found","8","Endangered","Crustaceans"
"Pituophis ruthveni","Louisiana pinesnake","Wherever found","4","Threatened","Reptiles"
"Rana muscosa","Mountain yellow-legged frog","Northern California DPS","8","Endangered","Amphibians"
"Villosa trabalis","Cumberland bean (pearlymussel)","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL","4","Experimental Population, Non-Essential","Clams"
"Lampsilis virescens","Alabama lampmussel","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Gila bicolor ssp.","Hutton tui chub","Wherever found","1","Threatened","Fishes"
"Pyrgulopsis roswellensis","Roswell springsnail","Wherever found","2","Endangered","Snails"
"Rhinichthys osculus lethoporus","Independence Valley speckled dace","Wherever found","8","Endangered","Fishes"
"Campeloma decampi","Slender campeloma","Wherever found","4","Endangered","Snails"
"Cottus specus","Grotto Sculpin","Wherever found","3","Endangered","Fishes"
"Tryonia alamosae","Alamosa springsnail","Wherever found","2","Endangered","Snails"
"Spelaeorchestia koloana","Kauai cave amphipod","Wherever found","1","Endangered","Crustaceans"
"Drosophila hemipeza","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Leptonycteris nivalis","Mexican long-nosed bat","Wherever found","2","Endangered","Mammals"
"Gammarus desperatus","Noel's Amphipod","Wherever found","2","Endangered","Crustaceans"
"Graptemys gibbonsi","Pascagoula map turtle","Wherever found","4","Similarity of Appearance (Threatened)","Reptiles"
"Ischnura luta","Rota blue damselfly","Wherever found","1","Endangered","Insects"
"Batrisodes venyivi","Helotes mold beetle","Wherever found","2","Endangered","Insects"
"Eurycea waterlooensis","Austin blind Salamander","Wherever found","2","Endangered","Amphibians"
"Hybognathus amarus","Rio Grande Silvery Minnow","Rio Grande, from Little Box Canyon to Amistad Dam","2","Experimental Population, Non-Essential","Fishes"
"Cicindelidia floridana","Miami tiger beetle","Wherever found","4","Endangered","Insects"
"Etheostoma chienense","Relict darter","Wherever found","4","Threatened","Fishes"
"Etheostoma wapiti","Boulder darter","Wherever found","4","Endangered","Fishes"
"Erimystax cahni","Slender chub","U.S.A. (TN - specified portions of the French Broad and Holston  Rivers; see 17.84(s)(1)(i))","4","Experimental Population, Non-Essential","Fishes"
"Euphydryas editha taylori","Taylor's (=whulge) Checkerspot","Wherever found","1","Endangered","Insects"
"Callophrys mossii bayensis","San Bruno elfin butterfly","Wherever found","8","Endangered","Insects"
"Noturus flavipinnis","Yellowfin madtom","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.84(e)(1)(iii))","4","Experimental Population, Non-Essential","Fishes"
"Euproserpinus euterpe","Kern primrose sphinx moth","Wherever found","8","Threatened","Insects"
"Branchinecta conservatio","Conservancy fairy shrimp","Wherever found","8","Endangered","Crustaceans"
"Mustela nigripes","Black-footed ferret","U.S.A. (parts of SD (Rosebud Sioux Reservation Experimental Population Area), see § 17.84(g)(9)(vii))","6","Experimental Population, Non-Essential","Mammals"
"Adelocosa anops","Kauai cave wolf or pe'e pe'e maka 'ole spider","Wherever found","1","Endangered","Arachnids"
"Pleurocera foremani","Rough hornsnail","Wherever found","4","Endangered","Snails"
"Enhydra lutris kenyoni","Northern Sea Otter","Southwest Alaska DPS","7","Threatened","Mammals"
"Lampsilis rafinesqueana","Neosho Mucket","Wherever found","4","Endangered","Clams"
"Pyrgulopsis texana","Phantom Springsnail","Wherever found","2","Endangered","Snails"
"Salvelinus confluentus","Bull Trout","Clackamas River subbasin experimental population","1","Experimental Population, Non-Essential","Fishes"
"Peromyscus polionotus allophrys","Choctawhatchee beach mouse","Wherever found","4","Endangered","Mammals"
"Catostomus discobolus yarrowi","Zuni bluehead Sucker","Wherever found","2","Endangered","Fishes"
"Etheostoma sellare","Maryland darter","Wherever found","5","Endangered","Fishes"
"Todiramphus cinnamominus","Guam kingfisher","Wherever found","1","Endangered","Birds"
"Puma yagouaroundi cacomitli","Gulf Coast jaguarundi","Wherever found","2","Endangered","Mammals"
"Cyprinodon radiosus","Owens pupfish","Wherever found","8","Endangered","Fishes"
"Palaemonetes cummingi","Squirrel Chimney Cave shrimp","Wherever found","4","Threatened","Crustaceans"
"Drosophila heteroneura","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Leptoxis plicata","Plicate rocksnail","Wherever found","4","Endangered","Snails"
"Lycaeides melissa samuelis","Karner blue butterfly","Wherever found","3","Endangered","Insects"
"Megalagrion pacificum","Pacific Hawaiian damselfly","Wherever found","1","Endangered","Insects"
"Canis lupus baileyi","Mexican wolf","U.S.A. (portions of AZ and NM)see 17.84(k)","2","Experimental Population, Non-Essential","Mammals"
"Amblyopsis rosae","Ozark cavefish","Wherever found","4","Threatened","Fishes"
"Rallus obsoletus levipes","Light-footed Ridgway's rail","Wherever found","8","Endangered","Birds"
"Salmo salar","Atlantic salmon","Gulf of Maine DPS","5","Endangered","Fishes"
"Leptoxis taeniata","Painted rocksnail","Wherever found","4","Threatened","Snails"
"Obovaria retusa","Ring Pink","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Chelonia mydas","Green sea turtle","North Atlantic DPS","4","Threatened","Reptiles"
"Microhexura montivaga","Spruce-fir moss spider","Wherever found","4","Endangered","Arachnids"
"Epioblasma perobliqua","White catspaw (pearlymussel)","Wherever found","3","Endangered","Clams"
"Mustela nigripes","Black-footed ferret","U.S.A. (parts of SD (Cheyenne River Sioux Tribe Reintroduction Area), see § 17.84(g)(9)(vi))","6","Experimental Population, Non-Essential","Mammals"
"Crocodylus acutus","American crocodile","U.S.A. (FL)","4","Threatened","Reptiles"
"Grus americana","Whooping crane","Wherever found, except where listed as an experimental population","2","Endangered","Birds"
"Hamiota australis","Southern Sandshell","Wherever found","4","Threatened","Clams"
"Atlantea tulita","Puerto Rican harlequin butterfly","Wherever found","4","Threatened","Insects"
"Dromus dromas","Dromedary pearlymussel","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL","4","Experimental Population, Non-Essential","Clams"
"Toxolasma cylindrellus","Pale lilliput (pearlymussel)","Wherever found","4","Endangered","Clams"
"Eurycea rathbuni","Texas blind salamander","Wherever found","2","Endangered","Amphibians"
"Epioblasma capsaeformis","Oyster mussel","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Lepidochelys olivacea","Olive ridley sea turtle","Breeding colony populations on Pacific coast of Mexico","9","Endangered","Reptiles"
"Noturus furiosus","Carolina madtom","Wherever found","4","Endangered","Fishes"
"Mustela nigripes","Black-footed ferret","[Conata Basin/Badlands Reintroduction Area NEP] - U.S.A. (parts of SD)","6","Experimental Population, Non-Essential","Mammals"
"Erinna newcombi","Newcomb's snail","Wherever found","1","Threatened","Snails"
"Parvaspina collina","James spinymussel","Wherever found","5","Endangered","Clams"
"Loxops coccineus","Hawaii akepa","Wherever found","1","Endangered","Birds"
"Lynx canadensis","Canada Lynx","Wherever Found in Contiguous U.S.","6","Threatened","Mammals"
"Setophaga chrysoparia","golden-cheeked warbler","Wherever found","2","Endangered","Birds"
"Accipiter striatus venator","Puerto Rican sharp-shinned hawk","Wherever found","4","Endangered","Birds"
"Ambrysus amargosus","Ash Meadows naucorid","Wherever found","8","Threatened","Insects"
"Alasmidonta heterodon","Dwarf wedgemussel","Wherever found","5","Endangered","Clams"
"Villosa perpurpurea","Purple bean","Wherever found","5","Endangered","Clams"
"Tiaroga cobitis","Loach minnow","Wherever found","2","Endangered","Fishes"
"Etheostoma scotti","Cherokee darter","Wherever found","4","Threatened","Fishes"
"Tamiasciurus fremonti grahamensis","Mount Graham red squirrel","Wherever found","2","Endangered","Mammals"
"Physella natricina","Snake River physa snail","Wherever found","1","Endangered","Snails"
"Canis rufus","Red wolf","U.S.A. (portions of NC and TN)","4","Experimental Population, Non-Essential","Mammals"
"Cottus paulus (=pygmaeus)","Pygmy Sculpin","Wherever found","4","Threatened","Fishes"
"Glaucomys sabrinus coloratus","Carolina northern flying squirrel","Wherever found","4","Endangered","Mammals"
"Pleurobema plenum","Rough pigtoe","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Medionidus simpsonianus","Ochlockonee moccasinshell","Wherever found","4","Endangered","Clams"
"Anas laysanensis","Laysan duck","Wherever found","1","Endangered","Birds"
"Campephilus principalis","Ivory-billed woodpecker","Wherever found","4","Endangered","Birds"
"Hamiota subangulata","Shinyrayed pocketbook","Wherever found","4","Endangered","Clams"
"Drepanis coccinea","`I`iwi","Wherever found","1","Threatened","Birds"
"Dermochelys coriacea","Leatherback sea turtle","Wherever found","4","Endangered","Reptiles"
"Oryzomys palustris natator","Silver rice rat","lower FL Keys","4","Endangered","Mammals"
"Odocoileus virginianus clavium","Key deer","Wherever found","4","Endangered","Mammals"
"Gopherus agassizii","Desert tortoise","AZ south and east of Colorado R., and Mexico, when found outside of Mexico or said range in AZ","8","Similarity of Appearance (Threatened)","Reptiles"
"Drymarchon couperi","Eastern indigo snake","Wherever found","4","Threatened","Reptiles"
"Gila elegans","Bonytail","Wherever found","6","Endangered","Fishes"
"Cryptobranchus alleganiensis bishopi","Ozark Hellbender","Wherever found","3","Endangered","Amphibians"
"Dipodomys nitratoides nitratoides","Tipton kangaroo rat","Wherever found","8","Endangered","Mammals"
"Emballonura semicaudata semicaudata","Pacific sheath-tailed Bat","American Samoa","1","Endangered","Mammals"
"Aplodontia rufa nigra","Point Arena mountain beaver","Wherever found","8","Endangered","Mammals"
"Eurycea chisholmensis","Salado Salamander","Wherever found","2","Threatened","Amphibians"
"Dipodomys stephensi (incl. D. cascus)","Stephens' kangaroo rat","Wherever found","8","Threatened","Mammals"
"Elassoma alabamae","Spring pygmy sunfish","Wherever found","4","Threatened","Fishes"
"Noturus flavipinnis","Yellowfin madtom","U.S.A. (TN-specified portions of the Tellico River; see 17.84(e)(1)(ii))","4","Experimental Population, Non-Essential","Fishes"
"Gila seminuda (=robusta)","Virgin River Chub","Wherever found","6","Endangered","Fishes"
"Martes caurina","Pacific marten, Coastal DPS","Wherever found","8","Threatened","Mammals"
"Marstonia ogmorhaphe","Royal marstonia (snail)","Wherever found","4","Endangered","Snails"
"Oarisma poweshiek","Poweshiek skipperling","Wherever found","3","Endangered","Insects"
"Vireo bellii pusillus","Least Bell's vireo","Wherever found","8","Endangered","Birds"
"Phoebastria (=Diomedea) albatrus","Short-tailed albatross","Wherever found","7","Endangered","Birds"
"Rallus obsoletus obsoletus","California Ridgway's rail","Wherever found","8","Endangered","Birds"
"Cyprogenia stegaria","Fanshell","Wherever found","4","Endangered","Clams"
"Noturus placidus","Neosho madtom","Wherever found","6","Threatened","Fishes"
"Pituophis melanoleucus lodingi","Black pinesnake","Wherever found","4","Threatened","Reptiles"
"Cyprogenia stegaria","Fanshell","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Moapa coriacea","Moapa dace","Wherever found","8","Endangered","Fishes"
"Boloria acrocnema","Uncompahgre fritillary butterfly","Wherever found","6","Endangered","Insects"
"Thomomys mazama yelmensis","Yelm pocket gopher","Wherever found","1","Threatened","Mammals"
"Hylaeus facilis","Easy yellow-faced bee","Wherever found","1","Endangered","Insects"
"Cicurina madla","Madla Cave Meshweaver","Wherever found","2","Endangered","Arachnids"
"Hemileuca maia menyanthevora (=H. iroquois)","bog buck moth","Wherever found","5","Endangered","Insects"
"Calidris canutus rufa","rufa red knot","Wherever found","5","Threatened","Birds"
"Branta (=Nesochen) sandvicensis","Hawaiian goose","Wherever found","1","Threatened","Birds"
"Drosophila ochrobasis","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Acrocephalus luscinia","Nightingale reed warbler (old world warbler)","Wherever found","1","Endangered","Birds"
"Lampsilis powellii","Arkansas fatmucket","Wherever found","4","Threatened","Clams"
"Gallicolumba stairi","Friendly Ground-Dove","American Samoa DPS","1","Endangered","Birds"
"Deltistes luxatus","Lost River sucker","Wherever found","8","Endangered","Fishes"
"Noturus baileyi","Smoky madtom","Tellico River, TN","4","Experimental Population, Non-Essential","Fishes"
"Peromyscus polionotus peninsularis","St. Andrew beach mouse","Wherever found","4","Endangered","Mammals"
"Notropis cahabae","Cahaba shiner","Wherever found","4","Endangered","Fishes"
"Chasmistes brevirostris","shortnose sucker","Wherever found","8","Endangered","Fishes"
"Gulo gulo luscus","North American wolverine","Wherever found","6","Threatened","Mammals"
"Lemiox rimosus","Birdwing pearlymussel","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Sterna dougallii dougallii","Roseate tern","Western Hemisphere except NE U.S.","4","Threatened","Birds"
"Thomomys mazama glacialis","Roy Prairie pocket gopher","Wherever found","1","Threatened","Mammals"
"Dinacoma caseyi","Casey's June Beetle","Wherever found","8","Endangered","Insects"
"Lasmigona decorata","Carolina heelsplitter","Wherever found","4","Endangered","Clams"
"Notropis topeka (=tristis)","Topeka shiner","U.S.A. (MO-specified portions of Little Creek, Big Muddy Creek, and Spring Creek watersheds in Adair, Gentry, Harrison, Putnam, Sullivan, and Worth Counties; see 17.84(d)(1)(i))","3","Experimental Population, Non-Essential","Fishes"
"Orthalicus reses (not incl. nesodryas)","Stock Island tree snail","Wherever found","4","Threatened","Snails"
"Ambystoma californiense","California tiger Salamander","U.S.A. (Central CA DPS)","8","Threatened","Amphibians"
"Erimonax monachus","Spotfin Chub","U.S.A. (AL, TN-specified portions of Shoal Creek; see 17.84(m)(1)(ii))","4","Experimental Population, Non-Essential","Fishes"
"Partula langfordi","Langford's tree snail","Wherever found","1","Endangered","Snails"
"Hylaeus anthracinus","Anthricinan yellow-faced bee","Wherever found","1","Endangered","Insects"
"Pleuronaia dolabelloides","Slabside Pearlymussel","Wherever found","4","Endangered","Clams"
"Megalagrion nesiotes","Flying earwig Hawaiian damselfly","Wherever found","1","Endangered","Insects"
"Erimonax monachus","Spotfin Chub","Wherever found, except where listed as an experimental population","4","Threatened","Fishes"
"Partulina semicarinata","Lanai tree snail","Wherever found","1","Endangered","Snails"
"Epioblasma capsaeformis","Oyster mussel","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Peltophryne lemur","Puerto Rican crested toad","Wherever found","4","Threatened","Amphibians"
"Ellipsoptera puritana","Puritan tiger beetle","Wherever found","5","Threatened","Insects"
"Rangifer tarandus ssp. caribou","Southern Mountain Caribou DPS","Southern Mountain DPS","1","Endangered","Mammals"
"Pleurobema athearni","Canoe Creek Clubshell","Wherever found","4","Endangered","Clams"
"Pleuronaia gibber","Cumberland pigtoe","Wherever found","4","Endangered","Clams"
"Emoia slevini","Slevin's skink","Wherever found","1","Endangered","Reptiles"
"Speyeria zerene myrtleae","Myrtle's silverspot butterfly","Wherever found","8","Endangered","Insects"
"Tryonia circumstriata (=stocktonensis)","Gonzales tryonia","Wherever found","2","Endangered","Snails"
"Branchinecta sandiegonensis","San Diego fairy shrimp","Wherever found","8","Endangered","Crustaceans"
"Centrocercus minimus","Gunnison Sage-grouse","Wherever found","6","Threatened","Birds"
"Peromyscus gossypinus allapaticola","Key Largo cotton mouse","Wherever found","4","Endangered","Mammals"
"Myadestes lanaiensis rutha","Molokai `oloma`o","Wherever found","1","Endangered","Birds"
"Vetericaris chaceorum","Anchialine pool shrimp","Wherever found","1","Endangered","Crustaceans"
"Batrachoseps aridus","Desert slender salamander","Wherever found","8","Endangered","Amphibians"
"Drosophila differens","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Mustela nigripes","Black-footed ferret","[Northcentral Montana Reintroduction Area NEP] - U.S.A. (parts of MT)","6","Experimental Population, Non-Essential","Mammals"
"Triodopsis platysayoides","Flat-spired three-toothed Snail","Wherever found","5","Threatened","Snails"
"Idaholanx fresti","Banbury Springs limpet","Wherever found","1","Endangered","Snails"
"Icaricia (Plebejus) shasta charlestonensis","Mount Charleston blue butterfly","Wherever found","8","Endangered","Insects"
"Gambusia heterochir","Clear Creek gambusia","Wherever found","2","Endangered","Fishes"
"Margaritifera hembeli","Louisiana pearlshell","Wherever found","4","Threatened","Clams"
"Puma (=Felis) concolor (all subsp. except coryi)","Puma (=mountain lion)","FL","4","Similarity of Appearance (Threatened)","Mammals"
"Tulotoma magnifica","Tulotoma snail","Wherever found","4","Threatened","Snails"
"Epioblasma obliquata","Purple Cat's paw (=Purple Cat's paw pearlymussel)","Wherever found; Except where listed as Experimental Populations","3","Endangered","Clams"
"Cyprinodon bovinus","Leon Springs pupfish","Wherever found","2","Endangered","Fishes"
"Melozone crissalis eremophilus","Inyo California towhee","Wherever found","8","Threatened","Birds"
"Plethodon neomexicanus","Jemez Mountains salamander","Wherever found","2","Endangered","Amphibians"
